Date,Region,Manufacturer,Measure,Frequency,Value,DateLabel,DateKey
2023-02-28,European Union (EU),Tesla,TTM,M,19284,2023-02,1677542400000
2023-02-28,European Union (EU),Tesla,UNITS,M,19284,2023-02,1677542400000
2023-02-28,European Union (EU),Tesla,YTD,M,19284,2023-02,1677542400000
2023-02-28,European Union (EU),Toyota,TTM,M,56408,2023-02,1677542400000
2023-02-28,European Union (EU),Toyota,UNITS,M,56408,2023-02,1677542400000
2023-02-28,European Union (EU),Toyota,YTD,M,56408,2023-02,1677542400000
2023-02-28,European Union (EU),Toyota Group,TTM,M,58947,2023-02,1677542400000
2023-02-28,European Union (EU),Toyota Group,UNITS,M,58947,2023-02,1677542400000
2023-02-28,European Union (EU),Toyota Group,YTD,M,58947,2023-02,1677542400000
2023-02-28,European Union (EU),Volkswagen,TTM,M,86820,2023-02,1677542400000
2023-02-28,European Union (EU),Volkswagen,UNITS,M,86820,2023-02,1677542400000
2023-02-28,European Union (EU),Volkswagen,YTD,M,86820,2023-02,1677542400000
2023-02-28,European Union (EU),Volkswagen Group,TTM,M,208503,2023-02,1677542400000
2023-02-28,European Union (EU),Volkswagen Group,UNITS,M,208503,2023-02,1677542400000
2023-02-28,European Union (EU),Volkswagen Group,YTD,M,208503,2023-02,1677542400000
2023-02-28,European Union (EU),Volvo Cars,TTM,M,16749,2023-02,1677542400000
2023-02-28,European Union (EU),Volvo Cars,UNITS,M,16749,2023-02,1677542400000
2023-02-28,European Union (EU),Volvo Cars,YTD,M,16749,2023-02,1677542400000
2023-03-31,EU + EFTA + UK,Alfa Romeo,TTM,M,9045,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Alfa Romeo,UNITS,M,5640,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Alfa Romeo,YTD,M,9045,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Alpine,TTM,M,306,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Alpine,UNITS,M,196,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Alpine,YTD,M,306,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Audi,TTM,M,130965,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Audi,UNITS,M,81509,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Audi,YTD,M,130965,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,BMW,TTM,M,120063,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,BMW,UNITS,M,74631,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,BMW,YTD,M,120063,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,BMW Group,TTM,M,155372,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,BMW Group,UNITS,M,97846,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,BMW Group,YTD,M,155372,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Citroen,TTM,M,75866,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Citroen,UNITS,M,46935,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Citroen,YTD,M,75866,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Cupra,TTM,M,30508,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Cupra,UNITS,M,19920,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Cupra,YTD,M,30508,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,DS,TTM,M,9776,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,DS,UNITS,M,5673,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,DS,YTD,M,9776,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Dacia,TTM,M,98907,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Dacia,UNITS,M,54165,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Dacia,YTD,M,98907,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Fiat,TTM,M,71692,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Fiat,UNITS,M,41076,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Fiat,YTD,M,71692,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Ford,TTM,M,100716,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Ford,UNITS,M,61540,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Ford,YTD,M,100716,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Honda,TTM,M,11456,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Honda,UNITS,M,7775,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Honda,YTD,M,11456,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Hyundai,TTM,M,94221,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Hyundai,UNITS,M,56296,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Hyundai,YTD,M,94221,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Hyundai Group,TTM,M,196698,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Hyundai Group,UNITS,M,119349,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Hyundai Group,YTD,M,196698,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Jaguar,TTM,M,4393,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Jaguar,UNITS,M,3280,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Jaguar,YTD,M,4393,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Jaguar Land Rover Group,TTM,M,28697,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Jaguar Land Rover Group,UNITS,M,21691,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Jaguar Land Rover Group,YTD,M,28697,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Jeep,TTM,M,22242,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Jeep,UNITS,M,12530,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Jeep,YTD,M,22242,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Kia,TTM,M,102477,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Kia,UNITS,M,63053,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Kia,YTD,M,102477,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Lancia/Chrysler,TTM,M,7548,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Lancia/Chrysler,UNITS,M,5082,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Lancia/Chrysler,YTD,M,7548,2023-03,1680220800000
2023-03-31,EU + EFTA + UK,Land Rover,TTM,M,24304,2023-03,1680220800000
